id,old_name,new_name,collection,shape,gender,category,slug
244424,G 96303,Pino,City,Prostokątne,Męskie,Korekcyjne,goya-okulary-korekcyjne-g-96303-c3
244429,G 93305,Duende,Weekend,Prostokątne,Dziecięce,Korekcyjne,goya-okulary-korekcyjne-g-93305-c2
244447,G 96514S C21,Azabache,Weekend,Okrągłe,Damskie,Przeciwsłoneczne,goya-g-96514s-c21-okulary-przeciwsloneczne
244458,G 96512S,Marbella,City,Prostokątne,Unisex,Przeciwsłoneczne,goya-g-96512s-c2-okulary-przeciwsloneczne
244579,G1904,Cádiz,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-g1904-c2-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-kopia
244590,G1835 C3,Ibiza,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-g1835-c3-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
244619,G100,Menorca,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-g100-c1-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
244629,G1926 C1,Mallorca,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-g1926-c1-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
244646,G1923 C1,Almería,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-g1923-c1-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
244657,G1921,Sitges,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-g1921-c2-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
244692,G1905 C1,Tossa,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-g1905-c1-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
244983,G 55006,Olmo,Coast,Aviator,Męskie,Przeciwsłoneczne,goya-g-55006-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
245019,G 55010,Fresno,Coast,Aviator,Męskie,Przeciwsłoneczne,goya-g-55010-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
