product_id,old_name,new_name,collection,old_sku,old_sku_variants,old_price_pln,live_price_pln,live_regular_price_pln,new_price_pln,category,gender,shape,material,polarized,frame_colors,lens_colors,stock_status,total_sales,image_count,image_live_url,local_image_path,all_local_images,source_image_url,old_full_name,old_slug,new_url,old_description
253959,G 21611 CZ,Portofino,Coast,GOYA G 21611 CZ,,149,104.3,149.0,449,Przeciwsłoneczne,Unisex,Aviator,Metal,tak,"Czarny, Złoty",Czarny,instock,2,7,https://goya-eight.vercel.app/products/G-21611-CZ-A.jpg,/products/G-21611-CZ-A.jpg,/products/G-21611-CZ-A.jpg; /products/GOYA_G21611_cz_mod.jpg; /products/G-21611-CZ-Z.jpg; /products/G-21611-CZ-t.jpg; /products/G-21611-CZ-s.jpg; /products/G-21611-CZ-f.jpg; /products/G-21611-CZ-b.jpg,https://okulary.pl/wp-content/uploads/2023/02/G-21611-CZ-A.jpg,GOYA okulary przeciwsłoneczne z filtrem polaryzacyjnym - G 21611 CZ,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-21611-cz,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-21611-cz,"OKULARY PRZECIWSŁONECZNE DLA KIEROWCÓW GOYA Z FILTREM POLARYZACYJNYM I UV400 Soczewki okularów GOYA o grubości 1,1 wyposażone są w filtr polaryzacyjny oraz filtr ochronny UV-400 (UV-A, UV-B, UV-C) ZAUSZNIKI POŁĄCZONE Z OPRAWKĄ SYSTEMEM FLEX: FLEX - elastyczne połączenie zausznika z frontem oprawy. Zwiększony zakres odchylenia zausznika do ponad 110° gwarantuje wygodę noszenia i ułatwia zakładanie oraz zdejmowanie okularów. OKULARY POSIADAJĄ CERTYFIKAT CE. Produkt odpowiada Wytycznej Europejskiej 89/686/EWG zgodnie z normą PN-EN ISO 12312-1:2014-02/A1:2016-01. Każda para okularów posiada oryginalne oznaczenia znajdujące się na wewnętrznej stronie zauszników ; logo producenta, numer modelu, kategoria filtra oraz oznaczenie CE. O POLARYZACJI: Soczewki polaryzacyjne neutralizują oślepiające refleksy, powstające wówczas gdy światło odbija się od mokrej drogi, powierzchni wody lub śniegu. Eliminacja światła odbitego zwiększ kontrast widzenia i pozwala na bardziej komfortowe widzenie. Dlatego okulary z filtrem polaryzacyjnym to idealne rozwiązanie do"
244295,G 94313,Proa,City,,Goya G 94313 C4; Goya G 94313 C3,159,111.3,,449,Korekcyjne,Męskie,Prostokątne,Tworzywo,nie,"Czarny, Granatowy, Szary",,instock,0,1,https://goya-eight.vercel.app/products/666_4.jpg,/products/666_4.jpg,/products/666_4.jpg,https://okulary.pl/wp-content/uploads/2022/11/666_4.jpg,GOYA okulary korekcyjne - G 94313,goya-okulary-korekcyjne-g-94313-c4,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-94313-c4,"OKULARY KOREKCYJNE GOYA G 94313 Produkt nowy - posiadają oryginalne zabezpieczenia, metkę oraz instrukcję użytkowania, dodatkowo w zestawie twarde etui na zawias sprężynowy Marki GOYA oraz miękką ściereczkę czyszczącą. NASZE PRODUKTY WYSYŁAMY BARDZO DOBRZE ZABEZPIECZONE W FOLIĘ TRANSPORTOWĄ I ZAPAKOWANE W WYTRZYMAŁY KARTONIK"
244058,LB 8936 C3,Raudo,City,Goya LB 8936 C3,,129,90.3,129.0,399,Korekcyjne,Męskie,Prostokątne,Tworzywo,nie,"Czarny, Szary",,instock,1,4,https://goya-eight.vercel.app/products/642_4.jpg,/products/642_4.jpg,/products/642_4.jpg; /products/642_1.jpg; /products/642_3.jpg; /products/642_2.jpg,https://okulary.pl/wp-content/uploads/2022/11/642_4.jpg,GOYA okulary korekcyjne - LB 8936 C3,goya-okulary-korekcyjne-lb-8936-c3,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-lb-8936-c3,"OKULARY KOREKCYJNE GOYA LB 8936 C3 Produkt nowy - posiadają oryginalne zabezpieczenia, metkę oraz instrukcję użytkowania, dodatkowo w zestawie twarde etui na zawias sprężynowy Marki GOYA oraz miękką ściereczkę czyszczącą. NASZE PRODUKTY WYSYŁAMY BARDZO DOBRZE ZABEZPIECZONE W FOLIĘ TRANSPORTOWĄ I ZAPAKOWANE W WYTRZYMAŁY KARTONIK"
256227,A 0709 CZ,Rayo,City,GOYA A 0709 CZ,,179,125.3,179.0,499,Przeciwsłoneczne,Damskie,Kwadratowe,Tworzywo,tak,"Czarny, Złoty",Czarny,instock,17,7,https://goya-eight.vercel.app/products/GOYA-A0709-CZ-A.jpg,/products/GOYA-A0709-CZ-A.jpg,/products/GOYA-A0709-CZ-A.jpg; /products/GOYA_A0709_CZ_mod.jpg; /products/GOYA-A0709-CZ-Z.jpg; /products/GOYA-A0709-CZ-b.jpg; /products/GOYA-A0709-CZ-f.jpg; /products/GOYA-A0709-CZ-s.jpg; /products/GOYA-A0709-CZ-t.jpg,https://okulary.pl/wp-content/uploads/2023/04/GOYA-A0709-CZ-A.jpg,GOYA okulary przeciwsłoneczne z filtrem polaryzacyjnym - GOYA A 0709 CZ,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-a-0709-cz,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-a-0709-cz,"OKULARY PRZECIWSŁONECZNE GOYA Z FILTREM POLARYZACYJNYM I UV400 Soczewki okularów GOYA o grubości 1,1 wyposażone są w filtr polaryzacyjny oraz filtr ochronny UV-400 (UV-A, UV-B, UV-C) OKULARY POSIADAJĄ CERTYFIKAT CE. Produkt odpowiada Wytycznej Europejskiej 89/686/EWG zgodnie z normą PN-EN ISO 12312-1:2014-02/A1:2016-01. Każda para okularów posiada oryginalne oznaczenia znajdujące się na wewnętrznej stronie zauszników ; logo producenta, numer modelu, kategoria filtra oraz oznaczenie CE. O POLARYZACJI: Soczewki polaryzacyjne neutralizują oślepiające refleksy, powstające wówczas gdy światło odbija się od mokrej drogi, powierzchni wody lub śniegu. Eliminacja światła odbitego zwiększ kontrast widzenia i pozwala na bardziej komfortowe widzenie. Dlatego okulary z filtrem polaryzacyjnym to idealne rozwiązanie do wszelkiego rodzaju aktywności na świeżym powietrzu, pozwalające pełniej korzystać z życia. ZALETY: Eliminują oślepiające odblaski, zmniejszając zmęczenie oczu Chronią przed szkodliwym promieniowaniem UV Zwiększają kontras"
244078,M 9010,Regata,City,,Goya M 9010 C2; Goya M 9010 C4,159,111.3,,449,Korekcyjne,Męskie,Prostokątne,Metal,nie,"Brązowy, Granatowy",,instock,0,1,https://goya-eight.vercel.app/products/646_4.jpg,/products/646_4.jpg,/products/646_4.jpg,https://okulary.pl/wp-content/uploads/2022/11/646_4.jpg,GOYA okulary korekcyjne - M 9010,goya-okulary-korekcyjne-m-9010-c2,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-m-9010-c2,"OKULARY KOREKCYJNE GOYA M 9010 Produkt nowy - posiadają oryginalne zabezpieczenia, metkę oraz instrukcję użytkowania, dodatkowo w zestawie twarde etui na zawias sprężynowy Marki GOYA oraz miękką ściereczkę czyszczącą. NASZE PRODUKTY WYSYŁAMY BARDZO DOBRZE ZABEZPIECZONE W FOLIĘ TRANSPORTOWĄ I ZAPAKOWANE W WYTRZYMAŁY KARTONIK"
244248,RD 654 C3,Remanso,Coast,Goya RD 654 C3,,129,90.3,129.0,399,Korekcyjne,Damskie,Kocie,Tworzywo,nie,"Czerwony, Pomarańczowy",,instock,0,4,https://goya-eight.vercel.app/products/655_4.jpg,/products/655_4.jpg,/products/655_4.jpg; /products/655_1.jpg; /products/655_3.jpg; /products/655_2.jpg,https://okulary.pl/wp-content/uploads/2022/11/655_4.jpg,GOYA okulary korekcyjne - RD 654 C3,goya-okulary-korekcyjne-rd-654-c3,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-rd-654-c3,"OKULARY KOREKCYJNE GOYA RD 654 C3 Produkt nowy - posiadają oryginalne zabezpieczenia, metkę oraz instrukcję użytkowania, dodatkowo w zestawie twarde etui na zawias sprężynowy Marki GOYA oraz miękką ściereczkę czyszczącą. NASZE PRODUKTY WYSYŁAMY BARDZO DOBRZE ZABEZPIECZONE W FOLIĘ TRANSPORTOWĄ I ZAPAKOWANE W WYTRZYMAŁY KARTONIK"
243898,G 2637,Retama,Coast,,Goya G 2637 C2; Goya G 2637 C3,109,76.3,,349,Korekcyjne,Damskie,Kocie,Tworzywo,nie,"Brązowy, Niebieski, Szary, Zielony",,instock,0,1,https://goya-eight.vercel.app/products/595_4.jpg,/products/595_4.jpg,/products/595_4.jpg,https://okulary.pl/wp-content/uploads/2022/11/595_4.jpg,GOYA okulary korekcyjne - G 2637,goya-okulary-korekcyjne-g-2637-c2,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2637-c2,"OKULARY KOREKCYJNE GOYA G 2637 Produkt nowy - posiadają oryginalne zabezpieczenia, metkę oraz instrukcję użytkowania, dodatkowo w zestawie twarde etui na zawias sprężynowy Marki GOYA oraz miękką ściereczkę czyszczącą. NASZE PRODUKTY WYSYŁAMY BARDZO DOBRZE ZABEZPIECZONE W FOLIĘ TRANSPORTOWĄ I ZAPAKOWANE W WYTRZYMAŁY KARTONIK"
245113,G 55016,Risco,Coast,,G 55016 BR; G 55016 GR; G 55016 CZ,149,104.3,,449,Przeciwsłoneczne,Męskie,Aviator,Metal,tak,"Brązowy, Czarny, Grafitowy","Brązowy, Czarny",instock,4,1,https://goya-eight.vercel.app/products/2454_1.jpg,/products/2454_1.jpg,/products/2454_1.jpg,https://okulary.pl/wp-content/uploads/2022/11/2454_1.jpg,GOYA okulary przeciwsłoneczne z filtrem polaryzacyjnym - G 55016,goya-g-55016-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym,https://goya-eight.vercel.app/okulary/goya-g-55016-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym,"OKULARY PRZECIWSŁONECZNE DLA KIEROWCÓW GOYA Z FILTREM POLARYZACYJNYM I UV400 Zauszniki oprawek wykonane z aluminium - co sprawia, że okulary są bardzo lekkie i wytrzymałe. Soczewki okularów GOYA o grubości 1,1 wyposażone są w filtr polaryzacyjny oraz filtr ochronny UV-400 (UV-A, UV-B, UV-C) ZAUSZNIKI POŁĄCZONE Z OPRAWKĄ SYSTEMEM FLEX: FLEX - elastyczne połączenie zausznika z frontem oprawy. Zwiększony zakres odchylenia zausznika do ponad 110° gwarantuje wygodę noszenia i ułatwia zakładanie oraz zdejmowanie okularów. OKULARY POSIADAJĄ CERTYFIKAT CE. Produkt odpowiada Wytycznej Europejskiej 89/686/EWG zgodnie z normą PN-EN ISO 12312-1:2014-02/A1:2016-01. Każda para okularów posiada oryginalne oznaczenia znajdujące się na wewnętrznej stronie zauszników ; logo producenta, numer modelu, kategoria filtra oraz oznaczenie CE. O POLARYZACJI: Soczewki polaryzacyjne neutralizują oślepiające refleksy, powstające wówczas gdy światło odbija się od mokrej drogi, powierzchni wody lub śniegu. Eliminacja światła odbitego zwiększ kontrast widzenia i pozwala na"
244394,G 1478 C2,Roble,City,Goya G 1478 C2,,179,125.3,179.0,499,Korekcyjne,Męskie,Prostokątne,Metal,nie,"Czarny, Szary",,instock,0,4,https://goya-eight.vercel.app/products/682_4.jpg,/products/682_4.jpg,/products/682_4.jpg; /products/682_1.jpg; /products/682_3.jpg; /products/682_2.jpg,https://okulary.pl/wp-content/uploads/2022/11/682_4.jpg,GOYA okulary korekcyjne - G 1478 C2,goya-okulary-korekcyjne-g-1478-c2,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-1478-c2,"OKULARY KOREKCYJNE GOYA G 1478 C2 Produkt nowy - posiadają oryginalne zabezpieczenia, metkę oraz instrukcję użytkowania, dodatkowo w zestawie twarde etui na zawias sprężynowy Marki GOYA oraz miękką ściereczkę czyszczącą. NASZE PRODUKTY WYSYŁAMY BARDZO DOBRZE ZABEZPIECZONE W FOLIĘ TRANSPORTOWĄ I ZAPAKOWANE W WYTRZYMAŁY KARTONIK"
243905,okulary korekcyjne G 2635 C1,Romero,Coast,Goya G 2635 C1,,109,76.3,109.0,349,Korekcyjne,Damskie,Kocie,Tworzywo,nie,Różowy,,instock,0,2,https://goya-eight.vercel.app/products/575_6.jpg,/products/575_6.jpg,/products/575_6.jpg; /products/575_5.jpg,https://okulary.pl/wp-content/uploads/2022/11/575_6.jpg,GOYA okulary korekcyjne G 2635 C1,goya-okulary-korekcyjne-g-2635-c1,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2635-c1,"OKULARY KOREKCYJNE GOYA G 2635 C1 Produkt nowy ! - posiadają oryginalne zabezpieczenia, metkę oraz instrukcję użytkowania, dodatkowo w zestawie twarde etui na zawias sprężynowy Marki GOYA oraz miękką ściereczkę czyszczącą. NASZE PRODUKTY SĄ BARDZO DOBRZE ZABEZPIECZONE W FOLIĘ TRANSPORTOWĄ I ZAPAKOWANE W WYTRZYMAŁY KARTONIK"
